Experiment,Time,IFN,IFN_env,STAT,STATP,IRF7
1,0.25,-0.020497751,-,1.863658559,-0.061481965,-0.103470351
1,0.5,-0.160862433,-,1.623133223,0.240621257,-0.048171328
1,1,-0.193164569,-,1.735329203,0.126888993,0.539168389
1,1.5,-0.087656463,-,2.146725107,2.231204901,1.598624551
1,2,-0.170751232,-,3.0053832,5.375249035,2.266126322
1,4,0.132225108,-,4.188246256,6.401389546,3.257509925
1,6,0.163614187,-,4.446748789,7.446608271,4.379842557
1,8,-0.034490251,-,4.626793161,7.950875946,4.584702936
1,12,-0.104075734,-,4.887588556,8.063953853,4.802145427
1,18,-0.136678711,-,5.079424363,8.114889798,4.26064523
