Time,IFN,IFN_env,STAT,STATP,IRF7
0.25,0.125553173,NaN,0.207534751,0.332632882,0.712962811
0.5,0.407629828,NaN,0.342926264,0.087960861,0.796922488
1,0.521232485,NaN,1.134303017,0.775240027,0.30773905
1.5,1.094047992,NaN,1.124572276,0.178123221,0.326155914
2,0.023622701,NaN,0.871885763,0.088173836,0.088193402
4,0.528390688,NaN,1.410843386,0.542619101,0.414895927
6,1.007092399,NaN,0.33776299,0.285888328,1.397741929
8,0.256147788,NaN,1.191367967,0.264483789,0.854127614
12,0.254369641,NaN,0.373440438,0.073876812,0.608677467
18,0.27272023,NaN,2.318813974,0.0843175,0.747790683
