Experiment,Time,IFN,IFN_env,STAT,STATP,IRF7
1,0.25,-0.135149825,-,1.458131614,-0.175906987,-0.27222173
1,0.5,-0.060991613,-,1.707837308,0.225013894,-0.011030926
1,1,-0.17624507,-,1.853394336,0.121670012,0.227049883
1,1.5,0.167039156,-,1.771392338,0.250888961,0.039899728
1,2,0.087181575,-,1.726239818,0.208762998,-0.139839843
1,4,0.095718614,-,2.082545745,0.261155698,-0.167861748
1,6,0.208561259,-,2.443319946,3.726741699,0.808982486
1,8,0.128183002,-,2.506420878,4.5241312,1.868088038
1,12,1.683489828,-,3.360010464,6.416532522,3.040074403
1,18,2.666810002,-,3.089369418,6.269520579,3.369406042
