Time,IFN,IFN_env,STAT,STATP,IRF7
0.25,0.504146251,NaN,0.561228982,1.187244477,1.420973085
0.5,0.762340216,NaN,0.418574581,0.052257539,0.810481452
1,0.37169262,NaN,0.146106074,1.076856393,0.7085973
1.5,0.858742545,NaN,0.97412092,0.029768675,0.537565277
2,0.33166789,NaN,0.412975743,0.406292672,0.721575116
4,0.191087394,NaN,1.237286024,0.526934441,0.176831185
6,0.093365026,NaN,0.21694207,0.261875864,0.494921427
8,0.905073871,NaN,0.767416014,0.009482709,1.236999176
12,0.120214243,NaN,0.386911877,0.114636218,1.050697421
18,1.84277537,NaN,1.096971778,0.538824557,0.724182532
