Time,IFN,IFN_env,STAT,STATP,IRF7
0.25,-0.009985444,NaN,1.708792595,-0.014150366,-0.154275583
0.5,-0.106243345,NaN,1.655386404,0.492777933,-0.082169455
1,-0.158242048,NaN,1.84267905,0.542115918,0.012801023
1.5,-0.090141272,NaN,1.714057404,-0.103210458,-0.071585736
2,-0.019568815,NaN,1.716914262,0.299861657,-0.34883774
4,0.14170902,NaN,2.087501629,-0.03867688,-0.267254678
6,0.438025799,NaN,1.94391967,0.744620166,0.198902011
8,3.7181304,NaN,2.337057543,3.604490581,1.324882854
12,8.688305746,NaN,4.177907774,7.314644208,4.468340852
18,9.04327302,NaN,4.926885674,7.977412396,5.558495398
