Time,IFN,IFN_env,STAT,STATP,IRF7
0.25,0.01562757,NaN,0.567490822,0.636029835,0.078509053
0.5,0.315082325,NaN,0.791092347,0.047043911,0.16779547
1,0.51076634,NaN,0.783786148,1.117199826,1.117203518
1.5,1.226480627,NaN,0.871729092,0.888485527,0.313432274
2,0.130228899,NaN,0.470271725,0.402632115,0.596366585
4,0.568881923,NaN,1.04761699,0.316102854,0.444637324
6,0.126480108,NaN,0.277694252,0.11102925,1.008300439
8,0.761460195,NaN,1.647322284,0.31204915,0.793543863
12,0.974318244,NaN,0.202927365,0.184309669,0.709163567
18,0.41868794,NaN,0.049394764,0.153928229,0.663329658
