Time,IFN,IFN_env,STAT,STATP,IRF7
0.25,0.075169342,NaN,0.142045753,0.345472516,0.189825633
0.5,0.796319185,NaN,0.023050423,0.044348395,1.005648488
1,0.86884457,NaN,0.779472664,1.212518085,0.238105125
1.5,0.245830723,NaN,1.012959998,0.466493776,0.560758868
2,0.053776784,NaN,0.22454688,0.600369499,0.534098823
4,0.292094632,NaN,0.653897686,0.314059225,0.252110198
6,0.590396035,NaN,1.257509835,0.251008609,0.42025429
8,0.108007312,NaN,1.662898702,0.024586299,1.078660902
12,0.065438898,NaN,0.656095723,0.393475718,0.415558382
18,1.104007185,NaN,0.517053795,0.443837778,0.16918926
